date,open,high,low,close,volume
2018-01-02,43.75,44.0,42.82,43.05,67986.08
2018-01-03,43.53,45.73,42.62,45.68,182387.87
2018-01-04,45.35,46.1,44.85,45.47,145042.21
2018-01-05,45.49,45.6,44.56,45.17,71144.93
2018-01-08,45.48,46.5,45.0,46.47,128763.91
2018-01-09,46.5,47.22,46.2,46.64,102334.53
2018-01-10,46.8,46.9,45.8,46.38,64666.52
2018-01-11,46.4,46.5,45.13,45.89,80053.41
2018-01-12,45.79,46.2,45.51,45.93,50041.45
2018-01-15,46.58,48.39,46.22,47.74,142230.89
2018-01-16,47.72,50.9,47.51,49.36,183255.78
2018-01-17,49.1,49.69,47.99,48.22,88790.78
2018-01-18,48.11,49.2,47.85,48.3,123234.83
2018-01-19,48.3,48.63,47.81,48.16,65640.59
2018-01-22,48.36,50.67,48.17,49.13,126949.86
2018-01-23,49.48,49.6,48.8,48.97,69787.56
2018-01-24,49.95,50.5,48.88,49.45,105368.55
2018-01-25,49.46,49.59,48.45,48.77,75459.93
2018-01-26,48.5,49.41,47.82,48.98,76569.43
2018-01-29,49.8,50.38,48.7,48.71,104091.5
2018-01-30,48.52,49.9,48.18,49.0,74329.88
2018-01-31,49.0,51.96,48.88,51.28,152796.97
2018-02-01,51.24,51.37,49.78,50.72,127587.48
2018-02-02,50.42,53.91,50.42,53.83,157276.23
2018-02-05,52.38,53.6,51.58,51.9,148344.08
2018-02-06,50.99,51.9,48.1,48.13,177172.95
2018-02-07,49.88,50.33,44.81,47.08,188332.91
2018-02-08,47.06,49.28,46.7,48.33,110566.62
2018-02-09,45.8,48.25,45.26,46.78,155007.54
2018-02-12,47.5,48.86,47.1,48.45,81020.84
2018-02-13,49.7,50.66,48.7,50.14,105131.89
2018-02-14,50.2,52.03,49.6,51.8,92511.91
2018-02-22,52.8,55.79,52.5,53.47,163985.65
2018-02-23,53.94,54.44,52.8,54.08,87044.82
2018-02-26,54.15,54.16,52.7,53.14,114800.97
2018-02-27,54.55,55.44,52.0,52.8,178728.72
2018-02-28,51.55,53.88,51.52,52.36,109979.85
2018-03-01,52.28,54.84,52.05,53.99,161502.88
2018-03-02,53.5,53.96,52.8,53.3,100022.42
2018-03-05,53.5,53.98,52.95,53.54,70251.43
2018-03-06,53.8,55.27,53.6,55.13,131865.63
2018-03-07,55.17,56.15,54.7,55.44,92999.5
2018-03-08,55.69,57.4,55.61,57.25,94762.0
2018-03-09,57.45,57.65,56.35,57.27,85671.16
2018-03-12,57.19,58.0,56.31,56.37,98212.54
2018-03-13,56.8,56.84,56.1,56.41,41148.27
2018-03-14,56.46,57.65,56.03,57.21,55781.1
