date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,ts_code,daily_return
2023-12-08,169.56856621457362,172.06014454965498,169.49634611711994,171.3116912841797,4207200,0.0,0.0,0.0,SOXX,SOXX,
2023-12-11,172.91694304156752,177.70643125385763,172.73311688068554,177.15493774414062,3977100,0.0,0.0,0.0,SOXX,SOXX,0.0341088597991126
2023-12-12,176.26202110968617,178.4581673435109,175.95016431722817,178.43190002441406,2226600,0.0,0.0,0.0,SOXX,SOXX,0.007208166458886556
2023-12-13,178.4581773868285,182.213592767221,177.79506278594835,181.17953491210938,5724900,0.0,0.0,0.0,SOXX,SOXX,0.01539878736548439
2023-12-14,182.64360201861697,186.72729800475352,182.64360201861697,186.20205688476562,3372300,0.0,0.0,0.0,SOXX,SOXX,0.027721243324157374
2023-12-15,186.74699849343372,188.99566420915303,186.49095225523604,186.8947296142578,3956100,0.0,0.0,0.0,SOXX,SOXX,0.0037200057887698534
2023-12-18,186.89146685633622,187.20004777622114,184.678925882336,186.37608337402344,2272200,0.0,0.0,0.0,SOXX,SOXX,-0.0027750715138133986
2023-12-19,186.64197471350903,187.7482376117191,186.40561391688394,187.3707275390625,1910100,0.0,0.0,0.0,SOXX,SOXX,0.005336758596021118
2023-12-20,185.97050087615054,187.05265551971712,181.81626892089844,181.81626892089844,3355800,0.374333,0.0,0.0,SOXX,SOXX,-0.02964421759533431
2023-12-21,185.74686064204772,187.19081265552717,184.88179334366245,186.84873962402344,2589300,0.0,0.0,0.0,SOXX,SOXX,0.02767888007488728
2023-12-22,187.74008941279445,188.56897544675658,186.11194891768153,187.44735717773438,2363400,0.0,0.0,0.0,SOXX,SOXX,0.003203754838889905
2023-12-26,188.3058532997933,191.51610638177445,188.3058532997933,190.7595977783203,1906500,0.0,0.0,0.0,SOXX,SOXX,0.01767024433129416
2023-12-27,191.63123128625878,191.95686243997687,190.19385890643056,191.2496795654297,1877400,0.0,0.0,0.0,SOXX,SOXX,0.002569106838225199
2023-12-28,191.6936956953075,192.05880546487953,190.6411575105604,190.89114379882812,1053000,0.0,0.0,0.0,SOXX,SOXX,-0.0018746999598443503
2023-12-29,190.93059897704975,191.31215063950498,188.47029013761278,189.4899444580078,1452300,0.0,0.0,0.0,SOXX,SOXX,-0.007340305647164924
2024-01-02,186.2829793431915,186.2829793431915,181.1123756623089,182.6648712158203,3256800,0.0,0.0,0.0,SOXX,SOXX,-0.03601812888651712
2024-01-03,179.43492907498032,180.45128612127226,178.03373795345834,178.74090576171875,4069800,0.0,0.0,0.0,SOXX,SOXX,-0.021481773851663943
2024-01-04,175.9187504195338,179.04018343680227,175.52405428465173,177.2377166748047,3737100,0.0,0.0,0.0,SOXX,SOXX,-0.008409877305410873
2024-01-05,177.56994422814512,179.78684665717034,177.01078378948696,178.22119140625,3888900,0.0,0.0,0.0,SOXX,SOXX,0.00554890206157288
2024-01-08,179.4480665861082,184.5068295091123,179.39872580166303,184.026611328125,3202200,0.0,0.0,0.0,SOXX,SOXX,0.032574240336221916
2024-01-09,181.9511359702978,185.50346194073458,181.6781430394709,184.089111328125,2944200,0.0,0.0,0.0,SOXX,SOXX,0.0003396247942020203
2024-01-10,184.5068452362583,184.54630883316224,181.15186734502493,183.4707489013672,2821800,0.0,0.0,0.0,SOXX,SOXX,-0.003359038578091833
2024-01-11,183.7305823229682,185.34556326839586,180.5499311033442,184.14830017089844,3692100,0.0,0.0,0.0,SOXX,SOXX,0.003692966173564294
2024-01-12,184.39499443040245,185.28966318468153,182.4478025425131,183.33587646484375,2277000,0.0,0.0,0.0,SOXX,SOXX,-0.00441179041729256
2024-01-16,183.56285176914022,187.19082261370806,182.61885723046885,185.93434143066406,4151400,0.0,0.0,0.0,SOXX,SOXX,0.014173248662100235
2024-01-17,184.03647931585817,184.4476324570542,181.10581429558212,184.2305450439453,4971000,0.0,0.0,0.0,SOXX,SOXX,-0.00916343034648126
2024-01-18,189.3452396356983,190.5622271064825,187.2960686431919,190.312255859375,3552000,0.0,0.0,0.0,SOXX,SOXX,0.033011414116909776
2024-01-19,192.71005757225538,198.0122272828848,191.72988183316838,197.75567626953125,5326800,0.0,0.0,0.0,SOXX,SOXX,0.03911161883161274
2024-01-22,199.3937090107239,200.9955306056675,196.5847319201981,198.40365600585938,5288400,0.0,0.0,0.0,SOXX,SOXX,0.0032766682026612592
2024-01-23,198.47596252815444,199.95609549372884,196.59125627171719,199.71926879882812,3282000,0.0,0.0,0.0,SOXX,SOXX,0.006630990675544179
2024-01-24,202.0250164465671,205.32077599695458,200.44291936348193,202.62693786621094,6283800,0.0,0.0,0.0,SOXX,SOXX,0.01455878085710216
2024-01-25,206.35689168781457,206.49175450054233,201.04485975123194,202.06451416015625,3916800,0.0,0.0,0.0,SOXX,SOXX,-0.0027756610842436524
2024-01-26,197.92998601791004,199.27525636599347,195.93673583054698,196.6175994873047,5781300,0.0,0.0,0.0,SOXX,SOXX,-0.026956314895223765
2024-01-29,197.00572562954397,198.66348266601562,195.56507105997895,198.66348266601562,3467400,0.0,0.0,0.0,SOXX,SOXX,0.010405391908179906
2024-01-30,197.47607462523456,198.686497247687,194.77893906024414,195.59466552734375,3059100,0.0,0.0,0.0,SOXX,SOXX,-0.015447313706017263
2024-01-31,192.55547003001237,196.28870207726908,191.04245294168743,192.7626953125,6573600,0.0,0.0,0.0,SOXX,SOXX,-0.014478770201674318
2024-02-01,193.54224157309793,194.19678623824868,191.1806139464823,193.71656799316406,3464100,0.0,0.0,0.0,SOXX,SOXX,0.004948429877044802
2024-02-02,193.70996940462229,196.64393185422375,193.18370783592218,196.1900177001953,4801200,0.0,0.0,0.0,SOXX,SOXX,0.012768395252173548
2024-02-05,197.86420206984647,199.86073460360242,195.6834659552882,198.8706817626953,4735200,0.0,0.0,0.0,SOXX,SOXX,0.01366361089072532
2024-02-06,199.43312744823717,199.58771450472165,194.34476356611395,196.5518035888672,3624000,0.0,0.0,0.0,SOXX,SOXX,-0.011660231429161394
2024-02-07,197.94317015499882,199.7456372094483,195.88413702022473,199.5581512451172,4839300,0.0,0.0,0.0,SOXX,SOXX,0.015295446805150936
